"year","month","scenario","measure","x","y","value"
2070,"apr","A1B","baseflow",-123.75,45.25,123.196998596191
2070,"apr","A1B","baseflow",-123.25,45.25,64.6809997558594
2070,"apr","A1B","baseflow",-122.75,45.25,54.9453010559082
2070,"apr","A1B","baseflow",-122.25,45.25,119.06600189209
2070,"apr","A1B","baseflow",-121.75,45.25,156.330001831055
2070,"apr","A1B","baseflow",-121.25,45.25,1.86451995372772
2070,"apr","A1B","baseflow",-120.75,45.25,0.00585999991744757
2070,"apr","A1B","baseflow",-120.25,45.25,0.00620999978855252
2070,"apr","A1B","baseflow",-119.75,45.25,0.0150699997320771
2070,"apr","A1B","baseflow",-119.25,45.25,2.91050004959106
2070,"apr","A1B","baseflow",-118.75,45.25,41.7938003540039
2070,"apr","A1B","baseflow",-118.25,45.25,51.092700958252
2070,"apr","A1B","baseflow",-117.75,45.25,69.0606002807617
2070,"apr","A1B","baseflow",-117.25,45.25,124.265998840332
2070,"apr","A1B","baseflow",-123.75,44.75,121.216003417969
2070,"apr","A1B","baseflow",-123.25,44.75,66.7797012329102
2070,"apr","A1B","baseflow",-122.75,44.75,95.5649032592773
2070,"apr","A1B","baseflow",-122.25,44.75,117.898002624512
2070,"apr","A1B","baseflow",-121.75,44.75,92.0941009521484
2070,"apr","A1B","baseflow",-121.25,44.75,12.1662998199463
2070,"apr","A1B","baseflow",-120.75,44.75,0.247079998254776
2070,"apr","A1B","baseflow",-120.25,44.75,0.00540000014007092
2070,"apr","A1B","baseflow",-119.75,44.75,0.0230199992656708
2070,"apr","A1B","baseflow",-119.25,44.75,2.54063010215759
2070,"apr","A1B","baseflow",-118.75,44.75,49.0228996276855
2070,"apr","A1B","baseflow",-118.25,44.75,66.9990005493164
2070,"apr","A1B","baseflow",-117.75,44.75,7.89124011993408
2070,"apr","A1B","baseflow",-117.25,44.75,44.312801361084
2070,"apr","A1B","baseflow",-123.75,44.25,96.0251998901367
2070,"apr","A1B","baseflow",-123.25,44.25,77.3925018310547
2070,"apr","A1B","baseflow",-122.75,44.25,98.6840972900391
2070,"apr","A1B","baseflow",-122.25,44.25,83.2598037719727
2070,"apr","A1B","baseflow",-121.75,44.25,70.1503982543945
2070,"apr","A1B","baseflow",-121.25,44.25,0.474579989910126
2070,"apr","A1B","baseflow",-120.75,44.25,0.0606100000441074
2070,"apr","A1B","baseflow",-120.25,44.25,0.0697299987077713
2070,"apr","A1B","baseflow",-119.75,44.25,0.059799998998642
2070,"apr","A1B","baseflow",-119.25,44.25,0.151859998703003
2070,"apr","A1B","baseflow",-118.75,44.25,38.3209991455078
2070,"apr","A1B","baseflow",-118.25,44.25,38.301399230957
2070,"apr","A1B","baseflow",-117.75,44.25,3.04527997970581
2070,"apr","A1B","baseflow",-117.25,44.25,5.03052997589111
2070,"apr","A1B","baseflow",-123.75,43.75,72.9309997558594
2070,"apr","A1B","baseflow",-123.25,43.75,69.2921981811523
2070,"apr","A1B","baseflow",-122.75,43.75,69.7802963256836
2070,"apr","A1B","baseflow",-122.25,43.75,67.2442016601562
2070,"apr","A1B","baseflow",-121.75,43.75,38.9342994689941
2070,"apr","A1B","baseflow",-121.25,43.75,4.36380004882812
2070,"apr","A1B","baseflow",-120.75,43.75,0.0146700004115701
2070,"apr","A1B","baseflow",-120.25,43.75,0.00569000001996756
2070,"apr","A1B","baseflow",-119.75,43.75,0.0271499995142221
2070,"apr","A1B","baseflow",-119.25,43.75,0.0275599993765354
2070,"apr","A1B","baseflow",-118.75,43.75,11.2906999588013
2070,"apr","A1B","baseflow",-118.25,43.75,1.83773994445801
2070,"apr","A1B","baseflow",-117.75,43.75,0.761699974536896
2070,"apr","A1B","baseflow",-117.25,43.75,0.591050028800964
2070,"apr","A1B","baseflow",-124.25,43.25,78.4852981567383
2070,"apr","A1B","baseflow",-123.75,43.25,65.5128021240234
2070,"apr","A1B","baseflow",-123.25,43.25,49.8287010192871
2070,"apr","A1B","baseflow",-122.75,43.25,63.0858001708984
2070,"apr","A1B","baseflow",-122.25,43.25,58.4348983764648
2070,"apr","A1B","baseflow",-121.75,43.25,25.4340991973877
2070,"apr","A1B","baseflow",-121.25,43.25,2.21721005439758
2070,"apr","A1B","baseflow",-120.75,43.25,2.04528999328613
2070,"apr","A1B","baseflow",-118.25,43.25,0.73022997379303
2070,"apr","A1B","baseflow",-117.75,43.25,0.23173999786377
2070,"apr","A1B","baseflow",-117.25,43.25,1.86226999759674
2070,"apr","A1B","baseflow",-124.25,42.75,100.439002990723
2070,"apr","A1B","baseflow",-123.75,42.75,80.9490966796875
2070,"apr","A1B","baseflow",-123.25,42.75,55.3460998535156
2070,"apr","A1B","baseflow",-122.75,42.75,49.0736999511719
2070,"apr","A1B","baseflow",-122.25,42.75,35.3813018798828
2070,"apr","A1B","baseflow",-121.75,42.75,19.4748992919922
2070,"apr","A1B","baseflow",-121.25,42.75,0.531979978084564
2070,"apr","A1B","baseflow",-120.75,42.75,5.63674020767212
2070,"apr","A1B","baseflow",-118.25,42.75,2.91427993774414
2070,"apr","A1B","baseflow",-117.75,42.75,0.00832000002264977
2070,"apr","A1B","baseflow",-117.25,42.75,1.67562997341156
2070,"apr","A1B","baseflow",-124.25,42.25,113.178001403809
2070,"apr","A1B","baseflow",-123.75,42.25,84.7114028930664
2070,"apr","A1B","baseflow",-123.25,42.25,50.7943992614746
2070,"apr","A1B","baseflow",-122.75,42.25,17.4111995697021
2070,"apr","A1B","baseflow",-122.25,42.25,13.1934995651245
2070,"apr","A1B","baseflow",-121.75,42.25,0.290160000324249
2070,"apr","A1B","baseflow",-121.25,42.25,0.757040023803711
2070,"apr","A1B","baseflow",-120.75,42.25,0.205799996852875
2070,"apr","A1B","baseflow",-120.25,42.25,2.14240002632141
2070,"apr","A1B","baseflow",-117.75,42.25,0.383269995450974
2070,"apr","A1B","baseflow",-117.25,42.25,1.0181200504303
2030,"aug","A1B","baseflow",-122.25,48.75,5.23977994918823
2030,"aug","A1B","baseflow",-121.75,48.75,56.2863998413086
