Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic output,Spending per person
Big South Fork NRRA,684715,20763.3,282,7506.6,12746.9,22328.7,0.030324003
Big Thicket NPRES,192809,12347.9,172,5890.1,9511.2,15909.4,0.064042135
Bighorn Canyon NRA,259485,11238.6,174,4544.1,7251.3,13502.7,0.043311174
Biscayne NP,514709,33004.1,461,18188.9,28395.1,45979.9,0.064121863
Black Canyon Of The Gunnison NP,238017,14616.1,197,6769,11041.6,18040.2,0.061407799
Blue Ridge PKWY,15175578,979334.2,15649,462871,767939.8,1341343,0.064533568
Bluestone NSR,34139,1485.5,23,598.1,963,1706.5,0.043513284
Booker T Washington NM,23439,1370.5,22,606.7,989.9,1779.3,0.058470925
Boston NHP,2594495,151696.4,2226,85199.5,134130.9,215088,0.058468565
Boston African American NHS,414170,24216,356,13595.4,21409.4,34339.2,0.058468745
Brown V Board Of Education NHS,27968,1635.2,28,855.3,1360.3,2398.9,0.058466819
Bryce Canyon NP,2365111,200974.1,3036,78944.8,139455.7,244697.3,0.08497449
Buck Island Reef NM,38929,2424.2,28,1101.1,1864.4,2897.4,0.062272342
Buffalo NR,1785358,77556.6,1200,30604.1,50099.5,90199.7,0.043440363
Cabrillo NM,959145,56079.8,819,30201.7,46315.5,75163.1,0.058468532
Canaveral NS,1629944,104943.6,1551,50324.9,84136.1,140813.9,0.064384789
Cane River Creole NHP,26863,1570.7,23,631,1079.6,1913.6,0.058470759
Canyon De Chelly NM,821406,54629.8,797,19622.8,34420.9,62237.8,0.066507671
Canyonlands NP,776217,47639.7,722,18085.8,32425.2,57605.3,0.061374203
Cape Cod NS,4692795,204549,2635,107373.6,164687.3,259123.7,0.043587883
Cape Hatteras NS,2411711,153828.4,2359,65010.8,108081.4,191709.5,0.063783928
Cape Krusenstern NM,15000,23656.3,308,11212.9,20586.4,33706.5,1.577086667
Cape Lookout NS,458000,20931.7,322,7451,12259.7,22945.1,0.045702402
Capitol Reef NP,1064904,77047.5,1083,28532.1,50125.3,88246.3,0.072351592
Capulin Volcano NM,60132,1806.5,27,561,966.1,1818.8,0.03004224
Carl Sandburg Home NHS,80695,4718.2,76,2049.9,3449.4,6015.6,0.058469546
Carlsbad Caverns NP,466772,30064,444,10905.3,18277.6,33785.2,0.064408319
Casa Grande Ruins NM,75752,4429.1,68,2360.7,3811.8,6306.9,0.058468423
Castillo De San Marcos NM,854664,49971,804,23238.7,39329.9,67756.6,0.058468591
