"Year","Epoch","Season","Scenario","Value"
2010,"Future","Autumn","RCP8.5",1.508
2010,"Future","Spring","RCP2.6",1.29
2010,"Future","Spring","RCP4.5",1.204
2010,"Future","Spring","RCP6",-0.054
2010,"Future","Spring","RCP8.5",0.388
2010,"Future","Summer","RCP2.6",1.612
2010,"Future","Summer","RCP4.5",1.22
2010,"Future","Summer","RCP6",1.288
2010,"Future","Summer","RCP8.5",1.722
2010,"Future","Winter","RCP2.6",-0.106
2010,"Future","Winter","RCP4.5",2.066
2010,"Future","Winter","RCP6",0.416
2010,"Future","Winter","RCP8.5",1.51
2015,"Future","Annual","RCP2.6",1.498
2015,"Future","Annual","RCP4.5",0.616
2015,"Future","Annual","RCP6",1.334
2015,"Future","Annual","RCP8.5",1.18
2015,"Future","Autumn","RCP2.6",2.152
2015,"Future","Autumn","RCP4.5",1.232
2015,"Future","Autumn","RCP6",0.994
2015,"Future","Autumn","RCP8.5",1.13
2015,"Future","Spring","RCP2.6",0.958
2015,"Future","Spring","RCP4.5",-0.064
2015,"Future","Spring","RCP6",2.056
2015,"Future","Spring","RCP8.5",0.58
2015,"Future","Summer","RCP2.6",1.734
2015,"Future","Summer","RCP4.5",0.478
2015,"Future","Summer","RCP6",1.08
2015,"Future","Summer","RCP8.5",1.314
2015,"Future","Winter","RCP2.6",1.412
2015,"Future","Winter","RCP4.5",1.058
2015,"Future","Winter","RCP6",1.24
2015,"Future","Winter","RCP8.5",1.282
2020,"Future","Annual","RCP2.6",0.88
2020,"Future","Annual","RCP4.5",1.086
2020,"Future","Annual","RCP6",1.198
2020,"Future","Annual","RCP8.5",1.344
2020,"Future","Autumn","RCP2.6",1.49
2020,"Future","Autumn","RCP4.5",1.242
2020,"Future","Autumn","RCP6",1.626
2020,"Future","Autumn","RCP8.5",1.14
2020,"Future","Spring","RCP2.6",0.436
2020,"Future","Spring","RCP4.5",1.214
2020,"Future","Spring","RCP6",1.114
2020,"Future","Spring","RCP8.5",1.462
2020,"Future","Summer","RCP2.6",1.714
2020,"Future","Summer","RCP4.5",0.822
2020,"Future","Summer","RCP6",1.22
2020,"Future","Summer","RCP8.5",1.126
2020,"Future","Winter","RCP2.6",-0.156
2020,"Future","Winter","RCP4.5",0.58
2020,"Future","Winter","RCP6",0.8
2020,"Future","Winter","RCP8.5",1.7
2025,"Future","Annual","RCP2.6",1.536
2025,"Future","Annual","RCP4.5",0.966
2025,"Future","Annual","RCP6",1.704
2025,"Future","Annual","RCP8.5",1.552
2025,"Future","Autumn","RCP2.6",1.57
2025,"Future","Autumn","RCP4.5",0.446
2025,"Future","Autumn","RCP6",1.894
2025,"Future","Autumn","RCP8.5",1.284
